0,1
AIRPLANES,AIRCRAFT_REGISTRATION
AIRPLANES,MODEL
AIRPLANES,SEATS_BUSINESS
AIRPLANES,SEATS_PREMIUM
AIRPLANES,SEATS_ECONOMY
AIRPLANES,CREW_MEMBERS
AIRPLANES,BUILD_DATE
AIRPLANES,FUEL_GALLONS_HOUR
AIRPLANES,MAINTENANCE_LAST_ACHECK
AIRPLANES,MAINTENANCE_LAST_BCHECK
AIRPLANES,MAINTENANCE_TAKEOFFS
AIRPLANES,MAINTENANCE_FLIGHT_HOURS
AIRPLANES,TOTAL_FLIGHT_DISTANCE
AIRPORTS,IATA_CODE
AIRPORTS,AIRPORT
AIRPORTS,CITY
AIRPORTS,COUNTRY
AIRPORTS,CONTINENT
AIRPORTS,TIMEZONE
AIRPORTS,LATITUDE
AIRPORTS,LONGITUDE
AIRPORTS,AIRPORT_TAX
COUNTRIES,NAME
COUNTRIES,CAPITAL
COUNTRIES,POPULATION
COUNTRIES,CONTINENT
DEPARTMENT,DEPTNO
DEPARTMENT,DEPTNAME
DEPARTMENT,BUDGET
DEPARTMENT,LOCATION
EMPLOYEE,EMPNO
EMPLOYEE,FIRSTNME
EMPLOYEE,MIDINIT
EMPLOYEE,LASTNAME
EMPLOYEE,IS_EXTERNAL
EMPLOYEE,WORKDEPT
EMPLOYEE,EMAIL
EMPLOYEE,PHONENO
EMPLOYEE,HIREDATE
EMPLOYEE,JOB
EMPLOYEE,IS_PARTTIME
EMPLOYEE,EDLEVEL
EMPLOYEE,GENDER
EMPLOYEE,BIRTHDATE
EMPLOYEE,SALARY
EMPLOYEE,BONUS
EMPLOYEE,COMM
FLIGHTS,FLIGHT_ID
FLIGHTS,FLIGHT_LEG
FLIGHTS,FREQUENCY
FLIGHTS,ROUTE_CODE
FLIGHTS,DEPARTURE
FLIGHTS,ARRIVAL
FLIGHTS,AIRPLANE
FLIGHTS,PRICE_ECONOMY
FLIGHTS,PRICE_PREMIUM
FLIGHTS,PRICE_BUSINESS
PASSENGERS,ID
PASSENGERS,FIRSTNME
PASSENGERS,MIDINIT
PASSENGERS,LASTNAME
PASSENGERS,GENDER
PASSENGERS,BIRTH_DATE
PASSENGERS,PASSPORT
PASSENGERS,COUNTRY
PASSENGERS,VIPCARD
PASSENGERS,PHONE
PASSENGERS,EMAIL
ROUTES,ROUTE_CODE
ROUTES,ORIGIN
ROUTES,DESTINATION
ROUTES,PARENT_ROUTE
ROUTES,LEG_NUMBER
ROUTES,DISTANCE
ROUTES,FLIGHT_MINUTES
TICKETS,TICKET_ID
TICKETS,PASSENGER_ID
TICKETS,FLIGHT_ID
TICKETS,ROUTE_CODE
TICKETS,DEPARTURE
TICKETS,CLASS
TICKETS,SEAT
TICKETS,PRICE
TICKETS,AIRPORT_TAX
TICKETS,LOCAL_TAX
TICKETS,TOTAL_AMOUNT
